roll_no,total_time,compiled,compiled successfully,ran_tests,test_results,modified,add_lines,change,remove_lines,cps,paste_lines,max_pastes,average_test_results,avg_paste,op
A2016\student1390,3043024,921,716,232,633,15788,8033,13594,393,0.005084416,5260,34,2.728448276,2.941444867,0
A2016\student1422,7486568,1452,1040,1091,1186,47304,18673,39526,3881,0.005116897,7793,251,1.087076077,4.915693571,0
A2016\student1424,3692256,1039,834,134,425,22520,4296,14763,479,0.001943256,1873,80,3.171641791,3.830752803,0
A2016\student1446,0,,,,,94,,,,,,,,,0
A2016\student1453,7633536,1446,1042,806,1146,32591,13058,27998,1112,0.002502772,6801,109,1.421836228,2.809145714,1
A2016\student1465,7663752,1757,1402,1140,2156,41851,18163,34565,2929,0.006945684,8790,138,1.89122807,6.055745165,0
A2016\student1466,10341400,3800,2439,1485,677,45414,24050,36449,5903,0.005965343,11852,548,0.455892256,5.205028687,1
A2016\student1468,2704,6,5,,,23,23,14,,0.00443787,11,2,,1.090909091,0
A2016\student1476,84488,,,,,21,2954,,,0.123366632,2954,4,,3.528436019,0
A2016\student1477,12193680,1746,1101,1779,1570,63456,22454,52401,5487,0.003402664,6987,245,0.882518269,5.938314012,1
A2016\student1482,4489464,915,569,485,354,26633,8510,23063,2748,0.008897721,4193,343,0.729896907,9.526830432,1
A2016\student1483,6774904,2224,1416,499,760,37914,18336,31315,4906,0.010217414,10094,121,1.523046092,6.85773727,1
A2016\student1494,3453536,721,525,244,633,17917,8292,14882,828,0.004695767,4344,103,2.594262295,3.733195212,0
A2016\student1502,2283392,202,135,443,1027,11429,5086,9958,232,0.003479473,2887,115,2.318284424,2.751991687,1
A2016\student1518,82800,43,29,10,29,307,595,259,11,0.016050725,537,3,2.9,2.474860335,0
A2016\student1522,102256,10,9,48,,219,807,161,295,0.053727899,742,77,,7.404312668,0
A2016\student1531,197288,,,,,21,383,,,0.004972426,383,3,,2.561357702,0
A2016\student1534,1229049,170,145,209,1256,3977,6142,3070,269,0.010427574,4989,3,6.009569378,2.568851473,0
A2016\student1542,15361032,5303,4346,592,830,80608,27737,66599,4750,0.002686408,11617,346,1.402027027,3.552207971,0
A2016\student1547,6183640,1110,702,639,1205,39366,9025,34386,1887,0.003002762,3652,77,1.885758998,5.084337349,1
A2016\student1562,2574536,775,610,302,473,13466,4979,11674,398,0.002468018,2535,3,1.566225166,2.506508876,0
A2016\student1571,5017400,1748,1414,1120,2169,23760,13439,19268,985,0.003546658,7710,126,1.936607143,2.308041505,0
A2016\student1579,90744,3,3,2,0,56,276,5,2,0.007725029,269,3,0,2.605947955,0
A2016\student1581,7160840,1920,1552,838,998,39870,12030,34361,1470,0.003394993,5065,206,1.190930788,4.799802567,0
A2016\student1616,2372728,298,166,191,434,11478,9388,9574,4523,0.038359643,7479,121,2.272251309,12.16967509,1
A2016\student1624,6777592,1093,610,353,1296,36265,10469,31171,1333,0.003271663,3853,159,3.671388102,5.754996107,1
A2016\student1639,6831080,1252,691,757,766,39386,15330,34125,4545,0.006699819,8303,182,1.011889036,5.512104059,1
A2016\student1649,6218624,956,689,587,1317,29427,10203,24936,1432,0.003138154,4610,160,2.243611584,4.23318872,1
A2016\student1671,397664,15,5,86,370,1449,774,1034,91,0.003027682,541,3,4.302325581,2.225508318,0
A2016\student1688,,,,,,3,,,,,,,,,0
A2016\student1725,6065968,1036,649,674,845,30788,8270,26800,1288,0.003583764,3052,143,1.253709199,7.122870249,0
A2016\student1738,15621808,5862,4962,2167,2210,88728,40086,72963,12133,0.006758053,16612,183,1.019843101,6.355225138,1
A2016\student1758,8112224,2642,2017,1017,1956,39319,19085,32249,2207,0.00352542,10399,322,1.923303835,2.750168285,0
A2016\student1772,9351184,2285,1698,619,548,52259,15461,44108,4003,0.003804866,4827,322,0.885298869,7.371037912,1
A2016\student1793,0,,,,,11,,,,,,,,,0
A2016\student1828,775888,143,40,34,167,4452,947,4016,247,0.00140742,440,3,4.911764706,2.481818182,1
A2016\student1833,9324256,2679,2036,645,1790,58580,23359,51737,6101,0.016409459,14956,300,2.775193798,10.2304092,1
A2016\student1845,1476040,415,265,201,543,6869,3369,5773,442,0.004635376,2033,78,2.701492537,3.365469749,1
A2016\student1891,288,,,1,,3,,,,0,,,,,0
A2016\student1915,2436120,304,128,111,203,13747,3188,12462,1045,0.006244356,1783,150,1.828828829,8.531688166,1
A2016\student1938,80,,,,,1,,,269,0,,,,,0
A2016\student1943,2451800,369,278,215,639,12648,3385,11174,408,0.003331838,1526,97,2.972093023,5.353211009,0
A2016\student1966,64,,,,,1,,,6,0,,,,,0
A2016\student1976,1203064,193,130,142,395,7145,1802,6321,227,0.002858535,695,69,2.781690141,4.948201439,0
A2016\student1978,1059256,269,208,179,89,6377,1808,5382,79,0.00137455,450,37,0.497206704,3.235555556,0
A2016\student1981,14953816,4639,3689,1224,2013,60413,21959,50467,3334,0.001913893,8504,346,1.644607843,3.365475071,1
A2016\student1995,8680,,,,,1,,,194,0,,,,,0
A2016\student2035,3296600,637,451,461,795,19949,4419,17750,642,0.003279136,1157,420,1.724511931,9.343128781,0
A2016\student2045,2880,,,,,1,118,,,0.084722222,118,3,,2.06779661,0
A2016\student2068,6995200,726,548,696,1461,36168,18285,30076,1469,0.004131547,9920,109,2.099137931,2.913407258,1
A2016\student2080,36960,,,,,1,8,,,0.002029221,8,34,,9.375,0
A2016\student2086,2599864,279,194,207,221,19522,3372,17661,765,0.003907127,1100,203,1.06763285,9.234545455,1
A2016\student2111,7619568,2224,1678,1228,1703,44505,19290,36755,2763,0.004262184,9195,120,1.386807818,3.531919521,0
A2016\student2117,3408,,,,,11,,,,0,,,,,0
A2016\student2126,5279456,785,565,936,1919,25543,6205,22598,943,0.00353597,2828,127,2.050213675,6.601131542,0
A2016\student2142,880904,70,31,6,3,7869,1878,6830,189,0.001370183,482,3,0.5,2.504149378,1
A2016\student2153,484104,186,97,,,2991,1058,698,594,0.01222258,785,76,,7.537579618,0
A2016\student2155,13416776,3044,2251,2057,853,71259,24561,61111,3192,0.003129888,11275,120,0.414681575,3.72443459,1
A2016\student2157,5559456,1650,1100,662,436,31582,8671,27595,1290,0.002116754,3967,162,0.658610272,2.966473406,1
A2016\student2160,749184,307,243,157,285,4026,1719,3449,1195,0.002797711,1016,3,1.815286624,2.062992126,1
A2016\student2197,2777816,365,243,287,513,18860,3991,16698,361,0.003309434,1172,120,1.787456446,7.843856655,1
A2016\student2210,10285480,3364,2557,821,1422,58146,22550,49232,3213,0.003758891,11413,162,1.732034105,3.387540524,1
A2016\student2213,2177704,616,395,167,286,9889,6108,8729,1451,0.006006326,4827,65,1.71257485,2.709757613,0
A2016\student2221,9851000,2502,1957,543,572,55649,18879,45126,5181,0.003817176,3862,159,1.053406998,9.73666494,1
A2016\student2230,5916904,1842,1446,838,744,24783,11012,20575,1184,0.003993981,5333,120,0.887828162,4.431276955,0
A2016\student2232,37440,,,,,1,8,,,0.002003205,8,34,,9.375,0
A2016\student2234,4922680,1535,1187,783,1672,27159,11620,23275,789,0.002965661,6523,65,2.135376756,2.238080638,0
A2016\student2240,999592,150,115,144,705,6437,2201,5288,212,0.00323432,706,64,4.895833333,4.579320113,1
A2016\student2247,7616880,1959,1219,870,1243,38807,11677,32977,1775,0.001874521,4623,162,1.428735632,3.08847069,0
A2016\student2254,8387056,2266,1809,1428,2437,44300,18675,36056,2370,0.003360655,9010,138,1.706582633,3.128301887,0
A2016\student2267,2376400,842,638,228,437,13583,5589,11395,546,0.003682882,2755,119,1.916666667,3.17676951,1
A2016\student2335,992,,,,,111,533,,,1.501008065,533,3,,2.793621013,0
A2016\student2340,,,,,,1,,,29,,,,,,1
A2016\student2351,9954448,3427,2420,1195,1737,46616,23945,36971,4328,0.003266279,11972,93,1.453556485,2.715836953,1
A2016\student2364,10846840,2919,2063,797,1194,63607,21071,52745,6938,0.005595362,7217,151,1.498117942,8.409588472,1
A2016\student2371,4407320,879,583,686,861,24351,10525,20434,1061,0.00328567,5727,137,1.255102041,2.528548979,1
A2016\student2406,13159568,2360,1624,1311,1170,63572,21846,54053,7077,0.006297851,10819,191,0.892448513,7.660319808,1
A2016\student2421,0,,,,,1,,,798,,,,,,1
A2016\student2437,15,,,,,2,,,19,0,,,,,1
A2016\student2447,3844872,1154,884,427,811,21824,9886,18442,1088,0.003575672,4511,162,1.899297424,3.047661272,1
A2016\student2463,4404296,465,210,616,598,21388,4883,18818,1352,0.003284293,1929,175,0.970779221,7.498703992,1
A2016\student2464,2862208,1909,1288,51,169,15532,8788,12992,791,0.026324432,6197,171,3.31372549,12.15846377,0
A2016\student2472,5980304,1062,702,626,1047,32950,8831,29611,1334,0.005616437,4695,151,1.672523962,7.15399361,0
A2016\student2477,4533768,618,456,622,918,23728,7907,20745,948,0.002540271,4178,126,1.475884244,2.756582097,0
A2016\student2478,665688,220,187,65,215,3148,3682,2588,190,0.025387269,3041,216,3.307692308,5.55738244,0
A2016\student2486,895960,182,135,142,750,3601,2879,2959,445,0.011099826,2081,107,5.281690141,4.778952427,0
A2016\student2498,200,,,,,12,,,,0,,,,,0
A2016\student2508,8077504,1303,1026,561,1103,29693,13287,24892,1155,0.002636953,7680,267,1.966131907,2.7734375,1
A2016\student2513,6864792,1094,814,408,613,36858,12663,31954,3086,0.008168929,6276,162,1.50245098,8.935309114,1
A2016\student2526,8380224,1548,1011,939,1555,35154,12854,30224,1382,0.003782118,7109,251,1.656017039,4.458432972,1
A2016\student2547,1253144,157,95,87,73,6094,1813,4536,85,0.007786815,861,381,0.83908046,11.33333333,1
A2016\student2553,8602640,4274,3872,711,1369,47342,20563,39028,3062,0.002944677,9987,67,1.925457103,2.536497447,1
A2016\student2567,218896,210,180,30,300,233,438,,,0.005034354,438,3,10,2.515981735,0
A2016\student2574,1142160,450,363,160,195,5516,1698,2206,217,0.004145654,906,140,1.21875,5.226269316,0
A2016\student2585,,,,,,1,,,35,,,,,,1
A2016\student2586,21968,4,3,,,96,267,60,1,0.028678077,234,3,,2.692307692,0
A2016\student2634,,,,,,1,1,,,,,,,,1
A2016\student2645,40,,,,,1,1,,,0,,,,,0
A2016\student2652,10102736,2107,1442,1143,1996,37619,18482,30342,5867,0.006118343,10925,120,1.746281715,5.65784897,1
A2016\student2664,5846312,1680,1124,954,874,30562,12159,25826,1926,0.004390631,5126,120,0.916142558,5.007608272,1
A2016\student2667,113776,46,31,17,,436,226,358,116,0.00571298,151,53,,4.304635762,0
A2016\student2675,93328,12,1,1,0,693,180,586,12,0.001864392,76,3,0,2.289473684,0
A2016\student2676,4602440,1192,1030,408,725,24905,10158,20750,1009,0.003329756,4855,135,1.776960784,3.15653965,1
A2016\student2701,7055848,947,753,735,1681,48529,15257,39551,3150,0.001151669,1501,202,2.28707483,5.413724184,0
A2016\student2704,5685392,889,491,805,1440,32918,11465,28965,2056,0.00501056,6281,129,1.788819876,4.535424295,1
A2016\student2717,24,,,,,68,,,,0,,,,,0
A2016\student2736,3141936,607,431,426,659,18897,6197,15877,1183,0.005018562,2199,205,1.546948357,7.17053206,1
A2016\student2749,6000528,1649,1203,537,715,29458,13138,25217,1422,0.004519269,7965,114,1.331471136,3.404645323,1
A2016\student2755,5200064,1051,817,404,544,26610,10643,21877,995,0.002229011,3782,72,1.346534653,3.064780539,0
A2016\student2800,2226280,570,424,258,162,14006,3307,12616,270,0.001585605,1065,162,0.627906977,3.314553991,0
A2016\student2806,4085016,1074,556,410,736,20429,8212,16827,1719,0.002174288,3712,64,1.795121951,2.392780172,1
A2016\student2821,9008112,2373,1787,731,1101,47312,11283,31344,1393,0.004103968,5785,322,1.506155951,6.390492653,1
A2016\student2830,3667936,634,506,445,1179,16365,6211,13779,1179,0.004597954,3087,137,2.649438202,5.463232912,0
A2016\student2831,2321048,306,161,138,126,12859,3148,11281,238,0.001878031,986,72,0.913043478,4.420892495,1
A2016\student2868,66720,,,,,1,4,,,0,,,,,0
A2016\student2886,136,,,,,1,,,6,0,,,,,0
A2016\student2887,2529592,271,103,134,30,24797,6357,21707,2356,0.01240793,2583,120,0.223880597,12.15137437,1
A2016\student2888,240,,,1,,1,1,,,0,,,,,0
A2016\student2895,48,,,,,1,1,,,0,,,,,0
A2016\student2896,2512696,363,284,388,1006,17014,4502,14733,352,0.001009672,1041,32,2.592783505,2.437079731,0
A2016\student2900,28800,,,,,1,1,,,0,,,,,0
A2016\student2908,12349072,4881,3526,764,1219,57882,26679,49006,6779,0.009837338,16698,346,1.595549738,7.275242544,1
A2016\student2922,37440,,,,,1,6,,,0.002163462,6,37,,13.5,0
A2016\student2925,1545152,236,120,137,435,9384,2218,8214,214,0.001597254,779,54,3.175182482,3.168164313,1
A2016\student2939,2880984,365,201,215,247,20489,3351,18402,784,0.003157949,943,105,1.148837209,9.647932131,1
A2016\student2941,3035176,628,500,310,1231,10405,4790,9057,209,0.00452066,2895,760,3.970967742,4.73955095,0
A2016\student2949,24,,,,,8,,,,0,,,,,0
A2016\student2953,3852976,729,451,349,376,16862,5879,14269,1887,0.004454738,2839,120,1.077363897,6.045790771,1
A2016\student2956,717952,76,46,64,146,3993,2624,3211,220,0.012408908,1978,416,2.28125,4.504044489,1
A2016\student2959,1065672,136,101,111,335,5957,1670,5305,179,0.00480448,907,64,3.018018018,5.644983462,0
A2016\student2965,6886144,1769,1098,622,1132,36315,33279,30236,7008,0.049930992,26522,574,1.819935691,12.96402986,1
A2016\student2967,2623640,323,203,195,569,19127,5296,16409,970,0.001598161,999,100,2.917948718,4.197197197,1
A2016\student2972,2009392,320,250,268,340,16165,3611,14417,379,0.002685887,1201,120,1.268656716,4.493755204,0
A2016\student3001,8688,,,,,1,,,6,0,,,,,0
A2016\student3023,60320,,,,,1,6,,,9.95E-05,6,1,,1,0
A2016\student3071,6570728,1404,1174,689,1209,33616,14329,28899,1915,0.004699479,7522,109,1.754716981,4.105158203,0
A2016\student3077,7692424,1719,1258,772,1152,41230,16398,34385,2355,0.005390758,7532,267,1.492227979,5.505576208,0
A2016\student3108,3546816,886,557,260,305,21981,5237,19514,394,0.003910268,1975,140,1.173076923,7.022278481,1
A2016\student3116,3802424,553,379,393,813,23027,7882,19526,1031,0.003768912,3174,112,2.06870229,4.515122873,1
A2016\student3133,5180592,702,451,749,1265,27803,10292,24300,526,0.003006799,5694,162,1.688918558,2.735686688,0
A2016\student3136,2143584,527,409,178,184,14505,5387,12701,1218,0.003599579,3104,18,1.033707865,2.485824742,1
A2016\student3165,2882176,791,598,222,486,12853,4876,10382,715,0.001313938,1498,83,2.189189189,2.528037383,1
A2016\student3169,37768,12,7,10,14,52,251,35,17,0.016574878,234,31,1.4,2.675213675,0
A2016\student3171,6739088,1550,1224,1659,2116,32734,16422,26392,3130,0.003890883,6682,129,1.275467149,3.924124514,0
A2016\student3178,6699368,1193,831,421,1086,25700,12711,21271,2779,0.002957443,6460,119,2.579572447,3.067027864,0
A2016\student3186,10338816,3853,3166,1387,1469,47091,21032,36801,4478,0.0026268,8752,160,1.059120404,3.103062157,0
A2016\student3206,7154872,1048,741,754,934,37472,16486,31327,2075,0.005927849,8922,185,1.23872679,4.753754764,0
A2016\student3217,9627648,2552,1758,857,934,57139,18093,47769,3494,0.001919991,5361,164,1.089848308,3.448050737,0
A2016\student3219,2421136,481,385,260,418,12681,4182,10657,532,0.001546795,1499,58,1.607692308,2.498332221,1
A2016\student3253,2370128,407,188,150,332,15123,3463,13394,470,0.00321586,1418,162,2.213333333,5.375176305,0
A2016\student3258,4377696,1275,942,298,1194,23562,17102,20457,1614,0.039924883,13171,136,4.006711409,13.26998709,0
A2016\student3288,1850904,662,523,205,550,9777,3446,8532,475,0.003012582,2080,75,2.682926829,2.680769231,1
A2016\student3301,3315240,1212,1052,477,1285,16833,5227,14960,517,0.002477045,3063,69,2.693920335,2.681031668,1
A2016\student3306,7674600,2337,1746,614,1156,42118,21144,34565,2767,0.005146587,11939,346,1.882736156,3.30831728,0
A2016\student3313,3551544,631,380,256,207,21207,4794,18586,794,0.002356721,1807,69,0.80859375,4.631986718,0
A2016\student3315,10387304,2425,1490,503,1123,54145,21129,45737,6089,0.008289543,10062,162,2.232604374,8.557543232,1
A2016\student3320,7947960,2380,1722,693,1280,45584,17984,37835,2762,0.002448804,7215,66,1.847041847,2.697574498,1
A2016\student3329,5932840,891,642,517,929,25976,9144,21935,1164,0.002134054,4183,143,1.796905222,3.026775042,0
A2016\student3331,2829312,384,161,417,249,16829,3804,14976,681,0.00591946,1716,162,0.597122302,9.75990676,1
A2016\student3350,5323360,1699,1107,758,1389,24493,9693,21585,2198,0.008014111,6369,213,1.832453826,6.698382792,1
A2016\student3367,593208,169,118,4,15,3663,1118,3076,150,0.001144624,330,3,3.75,2.057575758,0
A2016\student3386,7654048,1627,1198,624,1321,36711,27804,30484,1556,0.008154378,19866,56,2.116987179,3.141749723,1
A2016\student3402,118616,,,5,0,223,275,38,69,0.005640049,266,3,0,2.515037594,0
A2016\student3406,8507744,2738,2093,846,689,46517,14124,40650,2322,0.003419473,6737,222,0.814420804,4.318242541,0
A2016\student3411,6577152,1291,968,654,873,38893,13136,33700,1459,0.003388853,5643,143,1.334862385,3.949849371,0
A2016\student3415,1187440,277,215,132,267,5732,1990,4874,319,0.004000202,1202,152,2.022727273,3.951747088,0
A2016\student3421,3155472,723,378,311,468,16672,3185,14810,457,0.002818596,627,322,1.504823151,14.18500797,1
A2016\student3424,591680,96,65,59,270,3968,2370,3403,760,0.022491888,1719,145,4.576271186,7.741710297,1
A2016\student3425,2459232,823,559,146,100,13750,4997,11677,1300,0.006981448,2715,139,0.684931507,6.323756906,1
A2016\student3442,5859184,1801,1498,802,1312,32778,12779,27265,1496,0.002359544,4821,120,1.635910224,2.867662311,0
A2016\student3483,4107016,874,561,578,908,22459,8565,18265,940,0.002596045,3655,68,1.570934256,2.917099863,0
A2016\student3485,37440,,,,,1,,,8,0,,,,,0
A2016\student3500,1103944,153,88,100,304,6088,2377,5394,78,0.003609785,1497,3,3.04,2.661990648,0
A2016\student3512,961424,169,81,35,0,6026,846,5432,102,0.000784253,300,3,0,2.513333333,0
A2016\student3515,8696,,,,,66,,,,0,,,,,0
A2016\student3517,1655056,365,256,106,386,8516,2456,7436,73,0.001519586,1048,3,3.641509434,2.39980916,1
A2016\student3535,5512208,1175,876,365,628,42960,15238,36963,1875,0.014163653,6732,210,1.720547945,11.59729649,0
A2016\student3542,10904,6,,,,9,100,2,3,0.015682318,99,2,,1.727272727,0
A2016\student3546,406608,138,97,40,146,2236,1198,1667,116,0.00363741,563,3,3.65,2.626998224,1
A2016\student3551,1327552,484,386,112,158,8788,1643,7887,166,0.000952882,549,3,1.410714286,2.304189435,0
A2016\student3557,11244320,3183,2244,1089,1570,57954,25506,49415,5494,0.008118944,15146,264,1.441689624,6.027465998,0
A2016\student3560,1918016,485,269,109,65,12726,4065,10729,746,0.002607382,1399,83,0.596330275,3.574696212,1
A2016\student3567,9885992,1270,661,1572,2295,45868,25441,36697,4746,0.006170043,15541,143,1.459923664,3.924908307,1
A2016\student3572,6950984,1851,1305,597,770,37333,15567,32190,4740,0.012836312,9469,254,1.289782245,9.422853522,1
A2016\student3594,8120112,2502,1848,1231,2477,43378,16471,36604,2310,0.002701317,7561,162,2.012185215,2.901071287,1
A2016\student3610,614432,234,219,,,3881,1073,3139,215,0.000742149,111,73,,4.108108108,0
A2016\student3631,8868072,1119,570,1797,1446,40216,20135,34747,3542,0.005502662,12968,269,0.804674457,3.762954966,1
A2016\student3634,2627064,379,221,500,847,14889,4556,13006,707,0.007618771,2257,139,1.694,8.867966327,0
A2016\student3666,64,,,,,11,,,,0,,,,,0
A2016\student3671,4515552,1449,1079,333,630,27276,8981,22847,1471,0.004690899,3275,153,1.891891892,6.46778626,1
A2016\student3678,2997128,807,176,669,173,16772,3497,14795,548,0.002848727,1133,105,0.258594918,7.535745808,0
A2016\student3701,1968,,,,,134,,,,0,,,,,0
A2016\student3715,6657680,731,605,595,654,40296,13588,33833,708,0.003603658,5983,149,1.099159664,4.010028414,0
A2016\student3717,6607384,965,731,459,588,33508,9454,28897,1175,0.003510769,4137,251,1.281045752,5.607203287,1
A2016\student3719,44160,,,,,1,,,219,0,,,,,0
A2016\student3732,1631960,201,109,201,558,9293,4082,7982,768,0.008674232,2456,153,2.776119403,5.763843648,1
A2016\student3736,642344,65,29,56,262,2997,1824,2238,135,0.005506395,1096,49,4.678571429,3.227189781,1
A2016\student3739,48,,,,,56,,,,0,,,,,0
A2016\student3756,4344744,1244,964,435,615,23585,10073,19489,1449,0.005488471,4736,346,1.413793103,5.035050676,1
A2016\student3759,4282312,1120,849,455,547,22612,9522,18397,759,0.001750456,3049,37,1.202197802,2.458510987,1
A2016\student3776,3934152,1110,884,281,1671,19269,9866,16209,1522,0.010039012,6304,207,5.946619217,6.265069797,1
A2016\student3790,4582056,1239,901,891,1288,23206,12051,19043,1361,0.003598603,6356,162,1.445566779,2.594241661,0
A2016\student3807,665728,146,102,182,243,1847,6194,1354,269,0.01881399,5653,3,1.335164835,2.215637714,0
A2016\student3819,178800,56,37,,,976,423,784,125,0.008618568,225,48,,6.848888889,0
A2016\student3841,6869952,1462,1236,666,1240,40302,14247,33701,1930,0.002225197,5705,83,1.861861862,2.679579316,0
A2016\student3856,2035248,438,177,152,156,14264,2826,12711,601,0.002706304,884,67,1.026315789,6.230769231,1
A2016\student3867,8623232,1599,1176,1217,1671,48376,23034,39278,5200,0.005030712,11823,410,1.37304848,3.669204094,0
A2016\student3872,5749104,657,332,980,1058,35007,22969,27042,1416,0.008989401,9559,288,1.079591837,5.406527879,1
A2016\student3899,29432,14,12,3,18,54,78,49,1,0.004858657,75,2,6,1.906666667,0
A2016\student3900,2123424,131,61,106,245,20230,5034,17647,458,0.002847288,1840,72,2.311320755,3.285869565,0
A2016\student3925,138024,17,14,19,74,378,346,285,93,0.004231148,258,3,3.894736842,2.263565891,0
A2016\student3943,2242768,133,86,207,312,10793,4278,9847,743,0.008188542,3311,138,1.507246377,5.54666264,0
A2016\student3978,31640,,,15,105,106,197,95,174,0.016466498,197,31,7,2.644670051,0
A2016\student4011,36480,,,,,,,,,,,,,,0
A2016\student4016,3517464,650,416,315,537,20300,37223,17111,2655,0.100848793,33385,151,1.704761905,10.62549049,0
A2016\student4026,912752,197,145,97,257,5824,586,5483,112,0.001555735,142,143,2.649484536,10,0
A2016\student4036,3671632,568,382,394,582,28104,6593,24521,869,0.001703602,1686,162,1.47715736,3.709964413,1
A2016\student4043,0,,,,,12,,,,,,,,,1
A2016\student4059,2961496,498,327,217,556,15551,5273,13623,756,0.004143852,3088,158,2.562211982,3.974093264,1
A2016\student4082,3551592,633,390,253,645,19238,6878,16022,1508,0.003101989,2154,114,2.549407115,5.114670381,1
A2016\student4095,8378848,1878,1546,551,809,54328,17983,45432,2888,0.003483295,6303,162,1.468239564,4.630493416,0
A2016\student4100,,,,,,1,,,20,,,,,,1
A2016\student4105,2040360,466,254,82,273,13572,4604,11544,548,0.006135682,1799,120,3.329268293,6.958866037,0
A2016\student4108,2337624,271,151,359,650,11822,3556,10310,520,0.001428373,1325,47,1.810584958,2.52,1
A2016\student4110,646416,146,92,24,39,4330,1297,3663,95,0.001243781,368,3,1.625,2.184782609,0
A2016\student4124,2713176,501,315,127,257,16654,4434,14621,351,0.003505486,1836,102,2.023622047,5.180283224,1
A2016\student4128,1569984,576,452,51,78,9300,3862,7914,323,0.008032566,1969,82,1.529411765,6.404773997,0
A2016\student4150,6284840,1290,920,832,920,37378,15184,31694,2574,0.004959713,7802,160,1.105769231,3.995257626,1
A2016\student4155,2534008,660,350,403,498,15847,8298,13265,2886,0.010158216,4754,140,1.23573201,5.414598233,1
A2016\student4161,1203768,348,295,94,295,5571,1639,4533,65,0.002072659,775,162,3.138297872,3.219354839,1
A2016\student4163,2910912,684,558,294,846,15909,8523,13507,849,0.009422133,5471,124,2.87755102,5.0131603,0
A2016\student4167,368,,,,,22,,,,0,,,,,0
A2016\student4185,5701760,713,373,1029,976,33181,21370,28042,2084,0.01402374,14349,163,0.948493683,5.572513764,1
A2016\student4192,1657968,142,113,195,814,9872,3601,8697,87,0.003200906,2163,3,4.174358974,2.453536755,0
A2016\student4195,9024496,2771,2245,812,1998,40940,21014,32435,6197,0.004857889,10445,149,2.460591133,4.197223552,0
