student_assignment,total_time,compiled,compiled_successfully,ran_tests,test_results,modified,add_lines,change,remove_lines,average_test_results
A2016\student2247,7616880,1959,1219,870,1243,38807,11677,32977,1775,1.428735632
A2016\student2254,8387056,2266,1809,1428,2437,44300,18675,36056,2370,1.706582633
A2016\student2267,2376400,842,638,228,437,13583,5589,11395,546,1.916666667
A2016\student2335,992,,,,,111,533,,,
A2016\student2340,,,,,,1,,,29,
A2016\student2351,9954448,3427,2420,1195,1737,46616,23945,36971,4328,1.453556485
A2016\student2364,10846840,2919,2063,797,1194,63607,21071,52745,6938,1.498117942
A2016\student2371,4407320,879,583,686,861,24351,10525,20434,1061,1.255102041
A2016\student2406,13159568,2360,1624,1311,1170,63572,21846,54053,7077,0.892448513
A2016\student2421,0,,,,,1,,,798,
A2016\student2437,15,,,,,2,,,19,
A2016\student2447,3844872,1154,884,427,811,21824,9886,18442,1088,1.899297424
A2016\student2463,4404296,465,210,616,598,21388,4883,18818,1352,0.970779221
A2016\student2464,2862208,1909,1288,51,169,15532,8788,12992,791,3.31372549
A2016\student2472,5980304,1062,702,626,1047,32950,8831,29611,1334,1.672523962
A2016\student2477,4533768,618,456,622,918,23728,7907,20745,948,1.475884244
A2016\student2478,665688,220,187,65,215,3148,3682,2588,190,3.307692308
A2016\student2486,895960,182,135,142,750,3601,2879,2959,445,5.281690141
A2016\student2498,200,,,,,12,,,,
A2016\student2508,8077504,1303,1026,561,1103,29693,13287,24892,1155,1.966131907
A2016\student2513,6864792,1094,814,408,613,36858,12663,31954,3086,1.50245098
A2016\student2526,8380224,1548,1011,939,1555,35154,12854,30224,1382,1.656017039
A2016\student2547,1253144,157,95,87,73,6094,1813,4536,85,0.83908046
A2016\student2553,8602640,4274,3872,711,1369,47342,20563,39028,3062,1.925457103
A2016\student2567,218896,210,180,30,300,233,438,,,10
A2016\student2574,1142160,450,363,160,195,5516,1698,2206,217,1.21875
A2016\student2585,,,,,,1,,,35,
A2016\student2586,21968,4,3,,,96,267,60,1,
A2016\student2634,,,,,,1,1,,,
A2016\student2645,40,,,,,1,1,,,
A2016\student2652,10102736,2107,1442,1143,1996,37619,18482,30342,5867,1.746281715
A2016\student2664,5846312,1680,1124,954,874,30562,12159,25826,1926,0.916142558
A2016\student2667,113776,46,31,17,,436,226,358,116,
A2016\student2675,93328,12,1,1,0,693,180,586,12,0
A2016\student2676,4602440,1192,1030,408,725,24905,10158,20750,1009,1.776960784
A2016\student2701,7055848,947,753,735,1681,48529,15257,39551,3150,2.28707483
A2016\student2704,5685392,889,491,805,1440,32918,11465,28965,2056,1.788819876
A2016\student2717,24,,,,,68,,,,
A2016\student2736,3141936,607,431,426,659,18897,6197,15877,1183,1.546948357
A2016\student2749,6000528,1649,1203,537,715,29458,13138,25217,1422,1.331471136
A2016\student2755,5200064,1051,817,404,544,26610,10643,21877,995,1.346534653
A2016\student2800,2226280,570,424,258,162,14006,3307,12616,270,0.627906977
A2016\student2806,4085016,1074,556,410,736,20429,8212,16827,1719,1.795121951
A2016\student2821,9008112,2373,1787,731,1101,47312,11283,31344,1393,1.506155951
A2016\student2830,3667936,634,506,445,1179,16365,6211,13779,1179,2.649438202
A2016\student2831,2321048,306,161,138,126,12859,3148,11281,238,0.913043478
A2016\student2868,66720,,,,,1,4,,,
A2016\student2886,136,,,,,1,,,6,
A2016\student2887,2529592,271,103,134,30,24797,6357,21707,2356,0.223880597
A2016\student2888,240,,,1,,1,1,,,
A2016\student2895,48,,,,,1,1,,,
A2016\student2896,2512696,363,284,388,1006,17014,4502,14733,352,2.592783505
A2016\student2900,28800,,,,,1,1,,,
A2016\student2908,12349072,4881,3526,764,1219,57882,26679,49006,6779,1.595549738
A2016\student2922,37440,,,,,1,6,,,
A2016\student2925,1545152,236,120,137,435,9384,2218,8214,214,3.175182482
A2016\student2939,2880984,365,201,215,247,20489,3351,18402,784,1.148837209
A2016\student2941,3035176,628,500,310,1231,10405,4790,9057,209,3.970967742
A2016\student2949,24,,,,,8,,,,
A2016\student2953,3852976,729,451,349,376,16862,5879,14269,1887,1.077363897
A2016\student2956,717952,76,46,64,146,3993,2624,3211,220,2.28125
A2016\student2959,1065672,136,101,111,335,5957,1670,5305,179,3.018018018
A2016\student2965,6886144,1769,1098,622,1132,36315,33279,30236,7008,1.819935691
A2016\student2967,2623640,323,203,195,569,19127,5296,16409,970,2.917948718
A2016\student2972,2009392,320,250,268,340,16165,3611,14417,379,1.268656716
A2016\student3001,8688,,,,,1,,,6,
A2016\student3023,60320,,,,,1,6,,,
A2016\student3071,6570728,1404,1174,689,1209,33616,14329,28899,1915,1.754716981
A2016\student3077,7692424,1719,1258,772,1152,41230,16398,34385,2355,1.492227979
A2016\student3108,3546816,886,557,260,305,21981,5237,19514,394,1.173076923
A2016\student3116,3802424,553,379,393,813,23027,7882,19526,1031,2.06870229
A2016\student3133,5180592,702,451,749,1265,27803,10292,24300,526,1.688918558
A2016\student3136,2143584,527,409,178,184,14505,5387,12701,1218,1.033707865
A2016\student3165,2882176,791,598,222,486,12853,4876,10382,715,2.189189189
A2016\student3169,37768,12,7,10,14,52,251,35,17,1.4
A2016\student3171,6739088,1550,1224,1659,2116,32734,16422,26392,3130,1.275467149
A2016\student3178,6699368,1193,831,421,1086,25700,12711,21271,2779,2.579572447
A2016\student3186,10338816,3853,3166,1387,1469,47091,21032,36801,4478,1.059120404
A2016\student3206,7154872,1048,741,754,934,37472,16486,31327,2075,1.23872679
A2016\student3217,9627648,2552,1758,857,934,57139,18093,47769,3494,1.089848308
A2016\student3219,2421136,481,385,260,418,12681,4182,10657,532,1.607692308
A2016\student3253,2370128,407,188,150,332,15123,3463,13394,470,2.213333333
A2016\student3258,4377696,1275,942,298,1194,23562,17102,20457,1614,4.006711409
A2016\student3288,1850904,662,523,205,550,9777,3446,8532,475,2.682926829
A2016\student3301,3315240,1212,1052,477,1285,16833,5227,14960,517,2.693920335
A2016\student3306,7674600,2337,1746,614,1156,42118,21144,34565,2767,1.882736156
A2016\student3313,3551544,631,380,256,207,21207,4794,18586,794,0.80859375
A2016\student3315,10387304,2425,1490,503,1123,54145,21129,45737,6089,2.232604374
A2016\student3320,7947960,2380,1722,693,1280,45584,17984,37835,2762,1.847041847
A2016\student3329,5932840,891,642,517,929,25976,9144,21935,1164,1.796905222
A2016\student3331,2829312,384,161,417,249,16829,3804,14976,681,0.597122302
A2016\student3350,5323360,1699,1107,758,1389,24493,9693,21585,2198,1.832453826
A2016\student3367,593208,169,118,4,15,3663,1118,3076,150,3.75
A2016\student3386,7654048,1627,1198,624,1321,36711,27804,30484,1556,2.116987179
A2016\student3402,118616,,,5,0,223,275,38,69,0
A2016\student3406,8507744,2738,2093,846,689,46517,14124,40650,2322,0.814420804
A2016\student3411,6577152,1291,968,654,873,38893,13136,33700,1459,1.334862385
A2016\student3415,1187440,277,215,132,267,5732,1990,4874,319,2.022727273
A2016\student3421,3155472,723,378,311,468,16672,3185,14810,457,1.504823151
A2016\student3424,591680,96,65,59,270,3968,2370,3403,760,4.576271186
A2016\student3425,2459232,823,559,146,100,13750,4997,11677,1300,0.684931507
A2016\student3442,5859184,1801,1498,802,1312,32778,12779,27265,1496,1.635910224
A2016\student3483,4107016,874,561,578,908,22459,8565,18265,940,1.570934256
A2016\student3485,37440,,,,,1,,,8,
A2016\student3500,1103944,153,88,100,304,6088,2377,5394,78,3.04
A2016\student3512,961424,169,81,35,0,6026,846,5432,102,0
A2016\student3515,8696,,,,,66,,,,
A2016\student3517,1655056,365,256,106,386,8516,2456,7436,73,3.641509434
A2016\student3535,5512208,1175,876,365,628,42960,15238,36963,1875,1.720547945
A2016\student3542,10904,6,,,,9,100,2,3,
A2016\student3546,406608,138,97,40,146,2236,1198,1667,116,3.65
A2016\student3551,1327552,484,386,112,158,8788,1643,7887,166,1.410714286
A2016\student3557,11244320,3183,2244,1089,1570,57954,25506,49415,5494,1.441689624
A2016\student3560,1918016,485,269,109,65,12726,4065,10729,746,0.596330275
A2016\student3567,9885992,1270,661,1572,2295,45868,25441,36697,4746,1.459923664
A2016\student3572,6950984,1851,1305,597,770,37333,15567,32190,4740,1.289782245
A2016\student3594,8120112,2502,1848,1231,2477,43378,16471,36604,2310,2.012185215
A2016\student3610,614432,234,219,,,3881,1073,3139,215,
A2016\student3631,8868072,1119,570,1797,1446,40216,20135,34747,3542,0.804674457
A2016\student3634,2627064,379,221,500,847,14889,4556,13006,707,1.694
A2016\student3666,64,,,,,11,,,,
A2016\student3671,4515552,1449,1079,333,630,27276,8981,22847,1471,1.891891892
A2016\student3678,2997128,807,176,669,173,16772,3497,14795,548,0.258594918
A2016\student3701,1968,,,,,134,,,,
A2016\student3715,6657680,731,605,595,654,40296,13588,33833,708,1.099159664
A2016\student3717,6607384,965,731,459,588,33508,9454,28897,1175,1.281045752
A2016\student3719,44160,,,,,1,,,219,
A2016\student3732,1631960,201,109,201,558,9293,4082,7982,768,2.776119403
A2016\student3736,642344,65,29,56,262,2997,1824,2238,135,4.678571429
A2016\student3739,48,,,,,56,,,,
A2016\student3756,4344744,1244,964,435,615,23585,10073,19489,1449,1.413793103
A2016\student3759,4282312,1120,849,455,547,22612,9522,18397,759,1.202197802
A2016\student3776,3934152,1110,884,281,1671,19269,9866,16209,1522,5.946619217
A2016\student3790,4582056,1239,901,891,1288,23206,12051,19043,1361,1.445566779
A2016\student3807,665728,146,102,182,243,1847,6194,1354,269,1.335164835
A2016\student3819,178800,56,37,,,976,423,784,125,
A2016\student3841,6869952,1462,1236,666,1240,40302,14247,33701,1930,1.861861862
A2016\student3856,2035248,438,177,152,156,14264,2826,12711,601,1.026315789
A2016\student3867,8623232,1599,1176,1217,1671,48376,23034,39278,5200,1.37304848
A2016\student3872,5749104,657,332,980,1058,35007,22969,27042,1416,1.079591837
A2016\student3899,29432,14,12,3,18,54,78,49,1,6
A2016\student3900,2123424,131,61,106,245,20230,5034,17647,458,2.311320755
A2016\student3925,138024,17,14,19,74,378,346,285,93,3.894736842
A2016\student3943,2242768,133,86,207,312,10793,4278,9847,743,1.507246377
A2016\student3978,31640,,,15,105,106,197,95,174,7
A2016\student4011,36480,,,,,,,,,
A2016\student4016,3517464,650,416,315,537,20300,37223,17111,2655,1.704761905
A2016\student4026,912752,197,145,97,257,5824,586,5483,112,2.649484536
A2016\student4036,3671632,568,382,394,582,28104,6593,24521,869,1.47715736
A2016\student4043,0,,,,,12,,,,
A2016\student4059,2961496,498,327,217,556,15551,5273,13623,756,2.562211982
A2016\student4082,3551592,633,390,253,645,19238,6878,16022,1508,2.549407115
A2016\student4095,8378848,1878,1546,551,809,54328,17983,45432,2888,1.468239564
A2016\student4100,,,,,,1,,,20,
A2016\student4105,2040360,466,254,82,273,13572,4604,11544,548,3.329268293
A2016\student4108,2337624,271,151,359,650,11822,3556,10310,520,1.810584958
A2016\student4110,646416,146,92,24,39,4330,1297,3663,95,1.625
A2016\student4124,2713176,501,315,127,257,16654,4434,14621,351,2.023622047
A2016\student4128,1569984,576,452,51,78,9300,3862,7914,323,1.529411765
A2016\student4150,6284840,1290,920,832,920,37378,15184,31694,2574,1.105769231
A2016\student4155,2534008,660,350,403,498,15847,8298,13265,2886,1.23573201
A2016\student4161,1203768,348,295,94,295,5571,1639,4533,65,3.138297872
A2016\student4163,2910912,684,558,294,846,15909,8523,13507,849,2.87755102
A2016\student4167,368,,,,,22,,,,
A2016\student4185,5701760,713,373,1029,976,33181,21370,28042,2084,0.948493683
A2016\student4192,1657968,142,113,195,814,9872,3601,8697,87,4.174358974
A2016\student4195,9024496,2771,2245,812,1998,40940,21014,32435,6197,2.460591133
A2016\student4226,1693096,207,96,114,37,9375,2414,8340,212,0.324561404
A2016\student4237,24,,,,,10,,,,
A2016\student4253,256,,,,,2,21,,,
A2016\student4273,2538344,564,450,190,1008,10701,2241,9498,222,5.305263158
A2016\student4280,5929104,1120,620,451,736,29421,9882,25095,1162,1.631929047
A2016\student4290,3620072,669,393,462,555,25165,8498,22333,1216,1.201298701
A2016\student4296,9479824,2967,2108,1616,2860,53793,21364,44790,6063,1.76980198
A2016\student4322,2467320,379,214,419,398,13464,3712,12030,982,0.949880668
A2016\student4331,36960,,,,,1,,,8,
A2016\student4343,4040472,913,640,628,1199,20416,9895,17618,1028,1.909235669
A2016\student4370,799456,145,106,39,375,3893,1205,3274,197,9.615384615
A2016\student4377,11021680,3002,2173,1437,2775,54035,22633,45286,4521,1.931106472
A2016\student4389,6531400,1825,1432,1090,1489,33426,13411,27587,2368,1.366055046
A2016\student4412,1804792,435,335,388,483,8896,9652,7217,1094,1.244845361
A2016\student4414,3087848,1070,854,442,1030,14489,6160,12070,399,2.330316742
A2016\student4415,9467216,1510,1093,994,2530,43449,32958,35856,3725,2.54527163
A2016\student4416,4967592,982,773,688,1286,27546,7828,23554,730,1.869186047
A2016\student4419,1119416,165,115,121,370,7900,5204,6791,681,3.05785124
A2016\student4420,3927456,898,568,305,904,21980,7087,19008,1434,2.963934426
A2016\student4425,6041008,717,533,898,1991,29149,12420,24021,1734,2.21714922
A2016\student4430,4726096,1172,788,786,723,23936,12917,20453,842,0.919847328
A2016\student4438,6151816,1584,1220,291,567,35065,19622,27591,2546,1.948453608
A2016\student4456,3389192,1051,760,764,3326,9388,29107,6738,1688,4.353403141
A2016\student4469,7606248,1424,901,922,1315,30137,13640,25726,3230,1.426247289
A2016\student4471,13343320,3640,2924,1053,1820,68284,26623,58219,4010,1.728395062
A2016\student4473,5594464,818,551,628,882,32232,8115,28388,1786,1.404458599
A2016\student4495,4263592,606,399,607,876,24574,16597,20792,6089,1.443163097
A2016\student4519,5605000,1503,1157,327,457,37875,8910,32450,1867,1.397553517
A2016\student4526,6239048,1146,735,942,995,27627,13222,23451,2195,1.05626327
A2016\student4554,2015128,364,171,236,721,10776,2797,9134,368,3.055084746
A2016\student4575,4008664,988,723,698,1070,22599,9691,19271,2546,1.532951289
A2016\student4587,2034152,435,323,162,649,12011,3070,10733,279,4.00617284
A2016\student4602,6155856,1537,1041,387,819,37504,14879,31075,2402,2.11627907
A2016\student4614,13486008,3747,2860,1024,1796,62640,34357,54010,3373,1.75390625
A2016\student4628,12963432,2350,1663,1239,1577,76924,20108,65271,3384,1.272800646
A2016\student4639,480,,,,,127,,,,
A2016\student4640,1144112,162,90,34,95,7594,1301,6667,171,2.794117647
A2016\student4644,1677800,305,127,189,338,9897,3705,8782,1534,1.788359788
A2016\student4647,11634616,3631,2775,1109,1996,54173,14962,48011,1841,1.799819657
A2016\student4659,0,,,,,1,,,26,
A2016\student4661,3082456,924,567,294,250,16528,8039,13762,1671,0.850340136
A2016\student4665,1594520,260,177,152,389,10095,5227,8346,444,2.559210526
A2016\student4682,5717208,1102,593,759,1030,27748,12123,23828,1644,1.357048748
A2016\student4736,0,,,,,1,,1,,
A2016\student4766,6440560,1279,1081,691,1687,28899,12919,24199,1970,2.441389291
A2016\student4770,3060216,709,472,529,378,16754,6221,13752,864,0.714555766
A2016\student4771,80,,,,,109,,,,
A2016\student4780,6674336,1331,794,986,1740,38608,14816,33222,2805,1.764705882
A2016\student4804,8208,,,,,110,,,,
A2016\student4814,36960,,,,,1,,,8,
A2016\student4824,6934680,1630,981,858,2182,39738,8916,34620,1277,2.543123543
A2016\student4825,3650456,1082,832,579,463,17895,10474,14457,2061,0.799654577
A2016\student4841,2829352,259,202,174,46,13693,3464,11814,749,0.264367816
A2016\student4850,4752,2,,,,14,110,,12,
A2016\student4852,6540312,1509,1141,662,1198,25898,12101,22242,1996,1.809667674
A2016\student4860,1823480,452,295,155,428,8672,2665,7585,289,2.761290323
A2016\student4863,11130768,5662,4726,1551,3479,52769,24961,42647,2157,2.243068988
A2016\student4867,5157352,939,542,801,856,30930,24455,26741,3235,1.06866417
A2016\student4878,209280,38,27,9,,717,400,489,158,
A2016\student4888,144776,84,71,5,,569,818,421,243,
A2016\student4896,1568584,108,58,144,347,5942,2678,5088,111,2.409722222
A2016\student4903,112,,,,,8,,,,
A2016\student4934,3523000,706,377,431,1203,21705,8915,18692,2407,2.791183295
A2016\student4949,10590664,2494,1817,1481,1707,52019,20249,45171,2522,1.152599595
A2016\student4959,4236112,960,659,637,964,22427,8549,19471,566,1.513343799
A2016\student4966,36960,,,,,1,36,,,
A2016\student4973,3315968,911,614,550,697,18776,11874,15454,1231,1.267272727
A2016\student4982,2019796,1095,979,249,417,7928,3986,6820,372,1.674698795
A2016\student4995,8052512,2008,1491,1284,8574,34087,41389,28394,27946,6.677570093
A2016\student4998,1062016,191,150,197,243,5834,2700,4430,416,1.233502538
A2016\student5015,953784,75,47,16,1,4788,1070,4203,122,0.0625
A2016\student5071,936,2,,,,5,2433,,,
A2016\student5078,528,,,,,140,,,,
A2016\student5122,6260728,1716,1245,1157,1544,28899,15135,24677,1364,1.334485739
A2016\student5129,6262712,1001,707,551,787,29964,15691,24028,2811,1.42831216
A2016\student5140,15089944,3981,3088,1857,1990,82840,42542,70369,8003,1.071620894
A2016\student5154,197784,,,,,171,99,,,
A2016\student5162,46864,1326,1275,510,578,70,2279,,,1.133333333
A2016\student5170,6366216,1154,668,1143,1357,32921,11929,27888,1741,1.187226597
A2016\student5172,5785600,1510,1068,367,1495,26681,10162,21971,2244,4.073569482
A2016\student5185,9902496,3408,2724,1043,1276,53184,26551,42152,4219,1.223394056
A2016\student5222,7023136,1138,764,163,471,41355,13037,34322,2676,2.889570552
A2016\student5226,4959016,1117,823,344,363,33143,9285,28435,660,1.055232558
A2016\student5236,6098432,1461,889,709,1018,37618,9524,33056,1522,1.435825106
A2016\student5244,36960,,,,,1,4,,,
A2016\student5261,5446680,1446,1073,548,701,31674,8664,27438,1150,1.27919708
A2016\student5263,7693336,2729,2193,900,1358,32054,41383,27962,1591,1.508888889
A2016\student5268,3009072,974,721,176,385,16806,5302,14029,734,2.1875
A2016\student5284,3723376,1112,855,391,1432,19553,9739,16232,1063,3.662404092
A2016\student5297,0,,,,,19,,,,
A2016\student5298,2413064,625,373,152,336,10575,4472,8881,947,2.210526316
A2016\student5304,6985360,2974,2291,882,1211,32182,13279,26207,1294,1.373015873
A2016\student5345,27200,,,,,217,24,45,16,
A2016\student5355,1006792,108,68,101,203,6242,1410,5612,118,2.00990099
A2016\student5358,320040,65,43,6,15,2085,1448,1792,503,2.5
A2016\student5366,1240,,,,,1,,,1,
A2016\student5370,200120,46,43,21,131,394,370,263,16,6.238095238
A2016\student5378,4727968,1352,876,739,1787,25839,18006,21443,1438,2.418132612
A2016\student5380,3304944,445,172,457,796,17683,7055,14656,701,1.741794311
A2016\student5381,1742400,437,290,87,81,11447,3060,9927,1075,0.931034483
A2016\student5397,7978216,1608,1267,1015,1405,33796,23246,26521,2087,1.384236453
A2016\student5399,4016000,689,500,1000,1803,17447,10049,13912,968,1.803
A2016\student5403,19896456,6024,4662,925,1423,110104,43485,91703,10224,1.538378378
A2016\student5412,5659120,1138,908,964,899,28581,11186,22878,1399,0.932572614
A2016\student5413,3645984,619,449,426,1081,20552,9513,17227,595,2.537558685
A2016\student5420,5589000,529,346,827,524,30068,7938,26519,579,0.633615478
A2016\student5435,2306192,306,223,381,1060,10233,4862,8892,556,2.782152231
A2016\student5468,5642360,799,566,436,758,29621,7814,26070,1102,1.73853211
A2016\student5470,8108200,3216,2661,724,1282,35962,14579,30533,1610,1.770718232
A2016\student5475,12120,,,6,,23,131,6,10,
A2016\student5488,1073352,136,86,34,0,6838,1883,5771,286,0
A2016\student5496,6129944,1447,943,512,1056,28247,8623,24260,1358,2.0625
A2016\student5512,2997456,323,161,499,1191,18440,6321,15585,646,2.386773547
A2016\student5529,13712,,,,,149,27,134,,
A2016\student5533,4715912,823,583,362,774,23869,7731,20600,322,2.138121547
A2016\student5536,2584040,564,431,397,712,14844,4917,12643,529,1.793450882
A2016\student5542,3045451,599,430,287,385,11946,5777,9903,465,1.341463415
A2016\student5562,12591240,2531,1981,2130,4168,58437,24598,47772,4586,1.956807512
A2016\student5571,65768,,,,,1,,,500,
A2016\student5573,4092888,892,583,637,918,21655,8665,18284,1041,1.441130298
A2016\student5581,6020504,1072,744,779,1875,33655,18229,28614,2606,2.406931964
A2016\student5592,949088,107,76,95,29,3300,550,2677,23,0.305263158
A2016\student5603,4397664,1497,1188,897,1423,18376,10123,15544,632,1.586399108
A2016\student5607,28800,,,,,1,,,6,
A2016\student5611,,,,,,1,108,,,
A2016\student5612,1993776,455,293,257,576,10679,3046,9075,431,2.241245136
A2016\student5621,48,,,,,10,,,,
A2016\student5624,6299592,1646,1114,948,1246,33734,20794,29144,2847,1.314345992
A2016\student5636,11485288,2674,1987,1421,1238,55720,20732,47012,3646,0.871217452
A2016\student5637,0,,,,,11,,,,
A2016\student5649,4885936,1552,962,200,163,25889,4706,23233,964,0.815
