Student,total_time,compiled,compiled_successfully,ran_tests,test_results,modified,add_lines,change,remove_lines,cps,paste_lines,max_pastes,average_test_results,avg_paste
A2016\student1502,2283392.0,202.0,135.0,443.0,1027.0,11429.0,5086.0,9958.0,232.0,0.003479473,2887.0,115.0,2.318284424,2.751991687
A2016\student1518,82800.0,43.0,29.0,10.0,29.0,307.0,595.0,259.0,11.0,0.016050725,537.0,3.0,2.9,2.474860335
A2016\student1522,102256.0,10.0,9.0,48.0,,219.0,807.0,161.0,295.0,0.053727899,742.0,77.0,,7.404312668
A2016\student1531,197288.0,,,,,21.0,383.0,,,0.004972426,383.0,3.0,,2.561357702
A2016\student1534,1229049.0,170.0,145.0,209.0,1256.0,3977.0,6142.0,3070.0,269.0,0.010427574,4989.0,3.0,6.009569378,2.568851473
A2016\student1542,15361032.0,5303.0,4346.0,592.0,830.0,80608.0,27737.0,66599.0,4750.0,0.002686408,11617.0,346.0,1.402027027,3.552207971
A2016\student1547,6183640.0,1110.0,702.0,639.0,1205.0,39366.0,9025.0,34386.0,1887.0,0.003002762,3652.0,77.0,1.885758998,5.084337349
A2016\student1562,2574536.0,775.0,610.0,302.0,473.0,13466.0,4979.0,11674.0,398.0,0.002468018,2535.0,3.0,1.566225166,2.506508876
A2016\student1571,5017400.0,1748.0,1414.0,1120.0,2169.0,23760.0,13439.0,19268.0,985.0,0.003546658,7710.0,126.0,1.936607143,2.308041505
A2016\student1579,90744.0,3.0,3.0,2.0,0.0,56.0,276.0,5.0,2.0,0.007725029,269.0,3.0,0.0,2.605947955
A2016\student1581,7160840.0,1920.0,1552.0,838.0,998.0,39870.0,12030.0,34361.0,1470.0,0.003394993,5065.0,206.0,1.190930788,4.799802567
A2016\student1616,2372728.0,298.0,166.0,191.0,434.0,11478.0,9388.0,9574.0,4523.0,0.038359643,7479.0,121.0,2.272251309,12.16967509
A2016\student1624,6777592.0,1093.0,610.0,353.0,1296.0,36265.0,10469.0,31171.0,1333.0,0.003271663,3853.0,159.0,3.671388102,5.754996107
A2016\student1639,6831080.0,1252.0,691.0,757.0,766.0,39386.0,15330.0,34125.0,4545.0,0.006699819,8303.0,182.0,1.011889036,5.512104059
A2016\student1649,6218624.0,956.0,689.0,587.0,1317.0,29427.0,10203.0,24936.0,1432.0,0.003138154,4610.0,160.0,2.243611584,4.23318872
A2016\student1671,397664.0,15.0,5.0,86.0,370.0,1449.0,774.0,1034.0,91.0,0.003027682,541.0,3.0,4.302325581,2.225508318
A2016\student1688,,,,,,3.0,,,,,,,,
A2016\student1725,6065968.0,1036.0,649.0,674.0,845.0,30788.0,8270.0,26800.0,1288.0,0.003583764,3052.0,143.0,1.253709199,7.122870249
A2016\student1738,15621808.0,5862.0,4962.0,2167.0,2210.0,88728.0,40086.0,72963.0,12133.0,0.006758053,16612.0,183.0,1.019843101,6.355225138
A2016\student1758,8112224.0,2642.0,2017.0,1017.0,1956.0,39319.0,19085.0,32249.0,2207.0,0.00352542,10399.0,322.0,1.923303835,2.750168285
A2016\student1772,9351184.0,2285.0,1698.0,619.0,548.0,52259.0,15461.0,44108.0,4003.0,0.003804866,4827.0,322.0,0.885298869,7.371037912
A2016\student1793,0.0,,,,,11.0,,,,,,,,
A2016\student1828,775888.0,143.0,40.0,34.0,167.0,4452.0,947.0,4016.0,247.0,0.00140742,440.0,3.0,4.911764706,2.481818182
A2016\student1833,9324256.0,2679.0,2036.0,645.0,1790.0,58580.0,23359.0,51737.0,6101.0,0.016409459,14956.0,300.0,2.775193798,10.2304092
A2016\student1845,1476040.0,415.0,265.0,201.0,543.0,6869.0,3369.0,5773.0,442.0,0.004635376,2033.0,78.0,2.701492537,3.365469749
A2016\student1891,288.0,,,1.0,,3.0,,,,0.0,,,,
A2016\student1915,2436120.0,304.0,128.0,111.0,203.0,13747.0,3188.0,12462.0,1045.0,0.006244356,1783.0,150.0,1.828828829,8.531688166
A2016\student1938,80.0,,,,,1.0,,,269.0,0.0,,,,
A2016\student1943,2451800.0,369.0,278.0,215.0,639.0,12648.0,3385.0,11174.0,408.0,0.003331838,1526.0,97.0,2.972093023,5.353211009
A2016\student1966,64.0,,,,,1.0,,,6.0,0.0,,,,
A2016\student1976,1203064.0,193.0,130.0,142.0,395.0,7145.0,1802.0,6321.0,227.0,0.002858535,695.0,69.0,2.781690141,4.948201439
A2016\student1978,1059256.0,269.0,208.0,179.0,89.0,6377.0,1808.0,5382.0,79.0,0.00137455,450.0,37.0,0.497206704,3.235555556
A2016\student1981,14953816.0,4639.0,3689.0,1224.0,2013.0,60413.0,21959.0,50467.0,3334.0,0.001913893,8504.0,346.0,1.644607843,3.365475071
A2016\student1995,8680.0,,,,,1.0,,,194.0,0.0,,,,
A2016\student2035,3296600.0,637.0,451.0,461.0,795.0,19949.0,4419.0,17750.0,642.0,0.003279136,1157.0,420.0,1.724511931,9.343128781
A2016\student2045,2880.0,,,,,1.0,118.0,,,0.084722222,118.0,3.0,,2.06779661
A2016\student2068,6995200.0,726.0,548.0,696.0,1461.0,36168.0,18285.0,30076.0,1469.0,0.004131547,9920.0,109.0,2.099137931,2.913407258
A2016\student2080,36960.0,,,,,1.0,8.0,,,0.002029221,8.0,34.0,,9.375
A2016\student2086,2599864.0,279.0,194.0,207.0,221.0,19522.0,3372.0,17661.0,765.0,0.003907127,1100.0,203.0,1.06763285,9.234545455
A2016\student2111,7619568.0,2224.0,1678.0,1228.0,1703.0,44505.0,19290.0,36755.0,2763.0,0.004262184,9195.0,120.0,1.386807818,3.531919521
A2016\student2117,3408.0,,,,,11.0,,,,0.0,,,,
A2016\student2126,5279456.0,785.0,565.0,936.0,1919.0,25543.0,6205.0,22598.0,943.0,0.00353597,2828.0,127.0,2.050213675,6.601131542
A2016\student2142,880904.0,70.0,31.0,6.0,3.0,7869.0,1878.0,6830.0,189.0,0.001370183,482.0,3.0,0.5,2.504149378
A2016\student2153,484104.0,186.0,97.0,,,2991.0,1058.0,698.0,594.0,0.01222258,785.0,76.0,,7.537579618
A2016\student2155,13416776.0,3044.0,2251.0,2057.0,853.0,71259.0,24561.0,61111.0,3192.0,0.003129888,11275.0,120.0,0.414681575,3.72443459
A2016\student2157,5559456.0,1650.0,1100.0,662.0,436.0,31582.0,8671.0,27595.0,1290.0,0.002116754,3967.0,162.0,0.658610272,2.966473406
A2016\student2160,749184.0,307.0,243.0,157.0,285.0,4026.0,1719.0,3449.0,1195.0,0.002797711,1016.0,3.0,1.815286624,2.062992126
A2016\student2197,2777816.0,365.0,243.0,287.0,513.0,18860.0,3991.0,16698.0,361.0,0.003309434,1172.0,120.0,1.787456446,7.843856655
A2016\student2210,10285480.0,3364.0,2557.0,821.0,1422.0,58146.0,22550.0,49232.0,3213.0,0.003758891,11413.0,162.0,1.732034105,3.387540524
A2016\student2213,2177704.0,616.0,395.0,167.0,286.0,9889.0,6108.0,8729.0,1451.0,0.006006326,4827.0,65.0,1.71257485,2.709757613
A2016\student2221,9851000.0,2502.0,1957.0,543.0,572.0,55649.0,18879.0,45126.0,5181.0,0.003817176,3862.0,159.0,1.053406998,9.73666494
A2016\student2230,5916904.0,1842.0,1446.0,838.0,744.0,24783.0,11012.0,20575.0,1184.0,0.003993981,5333.0,120.0,0.887828162,4.431276955
A2016\student2232,37440.0,,,,,1.0,8.0,,,0.002003205,8.0,34.0,,9.375
A2016\student2234,4922680.0,1535.0,1187.0,783.0,1672.0,27159.0,11620.0,23275.0,789.0,0.002965661,6523.0,65.0,2.135376756,2.238080638
A2016\student2240,999592.0,150.0,115.0,144.0,705.0,6437.0,2201.0,5288.0,212.0,0.00323432,706.0,64.0,4.895833333,4.579320113
A2016\student2247,7616880.0,1959.0,1219.0,870.0,1243.0,38807.0,11677.0,32977.0,1775.0,0.001874521,4623.0,162.0,1.428735632,3.08847069
A2016\student2254,8387056.0,2266.0,1809.0,1428.0,2437.0,44300.0,18675.0,36056.0,2370.0,0.003360655,9010.0,138.0,1.706582633,3.128301887
A2016\student2267,2376400.0,842.0,638.0,228.0,437.0,13583.0,5589.0,11395.0,546.0,0.003682882,2755.0,119.0,1.916666667,3.17676951
A2016\student2335,992.0,,,,,111.0,533.0,,,1.501008065,533.0,3.0,,2.793621013
A2016\student2340,,,,,,1.0,,,29.0,,,,,
A2016\student2351,9954448.0,3427.0,2420.0,1195.0,1737.0,46616.0,23945.0,36971.0,4328.0,0.003266279,11972.0,93.0,1.453556485,2.715836953
A2016\student2364,10846840.0,2919.0,2063.0,797.0,1194.0,63607.0,21071.0,52745.0,6938.0,0.005595362,7217.0,151.0,1.498117942,8.409588472
A2016\student2371,4407320.0,879.0,583.0,686.0,861.0,24351.0,10525.0,20434.0,1061.0,0.00328567,5727.0,137.0,1.255102041,2.528548979
A2016\student2406,13159568.0,2360.0,1624.0,1311.0,1170.0,63572.0,21846.0,54053.0,7077.0,0.006297851,10819.0,191.0,0.892448513,7.660319808
A2016\student2421,0.0,,,,,1.0,,,798.0,,,,,
A2016\student2437,15.0,,,,,2.0,,,19.0,0.0,,,,
A2016\student2447,3844872.0,1154.0,884.0,427.0,811.0,21824.0,9886.0,18442.0,1088.0,0.003575672,4511.0,162.0,1.899297424,3.047661272
A2016\student2463,4404296.0,465.0,210.0,616.0,598.0,21388.0,4883.0,18818.0,1352.0,0.003284293,1929.0,175.0,0.970779221,7.498703992
A2016\student2464,2862208.0,1909.0,1288.0,51.0,169.0,15532.0,8788.0,12992.0,791.0,0.026324432,6197.0,171.0,3.31372549,12.15846377
A2016\student2472,5980304.0,1062.0,702.0,626.0,1047.0,32950.0,8831.0,29611.0,1334.0,0.005616437,4695.0,151.0,1.672523962,7.15399361
A2016\student2477,4533768.0,618.0,456.0,622.0,918.0,23728.0,7907.0,20745.0,948.0,0.002540271,4178.0,126.0,1.475884244,2.756582097
A2016\student2478,665688.0,220.0,187.0,65.0,215.0,3148.0,3682.0,2588.0,190.0,0.025387269,3041.0,216.0,3.307692308,5.55738244
A2016\student2486,895960.0,182.0,135.0,142.0,750.0,3601.0,2879.0,2959.0,445.0,0.011099826,2081.0,107.0,5.281690141,4.778952427
A2016\student2498,200.0,,,,,12.0,,,,0.0,,,,
A2016\student2508,8077504.0,1303.0,1026.0,561.0,1103.0,29693.0,13287.0,24892.0,1155.0,0.002636953,7680.0,267.0,1.966131907,2.7734375
A2016\student2513,6864792.0,1094.0,814.0,408.0,613.0,36858.0,12663.0,31954.0,3086.0,0.008168929,6276.0,162.0,1.50245098,8.935309114
A2016\student2526,8380224.0,1548.0,1011.0,939.0,1555.0,35154.0,12854.0,30224.0,1382.0,0.003782118,7109.0,251.0,1.656017039,4.458432972
A2016\student2547,1253144.0,157.0,95.0,87.0,73.0,6094.0,1813.0,4536.0,85.0,0.007786815,861.0,381.0,0.83908046,11.33333333
A2016\student2553,8602640.0,4274.0,3872.0,711.0,1369.0,47342.0,20563.0,39028.0,3062.0,0.002944677,9987.0,67.0,1.925457103,2.536497447
A2016\student2567,218896.0,210.0,180.0,30.0,300.0,233.0,438.0,,,0.005034354,438.0,3.0,10.0,2.515981735
A2016\student2574,1142160.0,450.0,363.0,160.0,195.0,5516.0,1698.0,2206.0,217.0,0.004145654,906.0,140.0,1.21875,5.226269316
A2016\student2585,,,,,,1.0,,,35.0,,,,,
A2016\student2586,21968.0,4.0,3.0,,,96.0,267.0,60.0,1.0,0.028678077,234.0,3.0,,2.692307692
A2016\student2634,,,,,,1.0,1.0,,,,,,,
A2016\student2645,40.0,,,,,1.0,1.0,,,0.0,,,,
A2016\student2652,10102736.0,2107.0,1442.0,1143.0,1996.0,37619.0,18482.0,30342.0,5867.0,0.006118343,10925.0,120.0,1.746281715,5.65784897
A2016\student2664,5846312.0,1680.0,1124.0,954.0,874.0,30562.0,12159.0,25826.0,1926.0,0.004390631,5126.0,120.0,0.916142558,5.007608272
A2016\student2667,113776.0,46.0,31.0,17.0,,436.0,226.0,358.0,116.0,0.00571298,151.0,53.0,,4.304635762
A2016\student2675,93328.0,12.0,1.0,1.0,0.0,693.0,180.0,586.0,12.0,0.001864392,76.0,3.0,0.0,2.289473684
A2016\student2676,4602440.0,1192.0,1030.0,408.0,725.0,24905.0,10158.0,20750.0,1009.0,0.003329756,4855.0,135.0,1.776960784,3.15653965
A2016\student2701,7055848.0,947.0,753.0,735.0,1681.0,48529.0,15257.0,39551.0,3150.0,0.001151669,1501.0,202.0,2.28707483,5.413724184
A2016\student2704,5685392.0,889.0,491.0,805.0,1440.0,32918.0,11465.0,28965.0,2056.0,0.00501056,6281.0,129.0,1.788819876,4.535424295
A2016\student2717,24.0,,,,,68.0,,,,0.0,,,,
A2016\student2736,3141936.0,607.0,431.0,426.0,659.0,18897.0,6197.0,15877.0,1183.0,0.005018562,2199.0,205.0,1.546948357,7.17053206
A2016\student2749,6000528.0,1649.0,1203.0,537.0,715.0,29458.0,13138.0,25217.0,1422.0,0.004519269,7965.0,114.0,1.331471136,3.404645323
A2016\student2755,5200064.0,1051.0,817.0,404.0,544.0,26610.0,10643.0,21877.0,995.0,0.002229011,3782.0,72.0,1.346534653,3.064780539
A2016\student2800,2226280.0,570.0,424.0,258.0,162.0,14006.0,3307.0,12616.0,270.0,0.001585605,1065.0,162.0,0.627906977,3.314553991
A2016\student2806,4085016.0,1074.0,556.0,410.0,736.0,20429.0,8212.0,16827.0,1719.0,0.002174288,3712.0,64.0,1.795121951,2.392780172
A2016\student2821,9008112.0,2373.0,1787.0,731.0,1101.0,47312.0,11283.0,31344.0,1393.0,0.004103968,5785.0,322.0,1.506155951,6.390492653
A2016\student2830,3667936.0,634.0,506.0,445.0,1179.0,16365.0,6211.0,13779.0,1179.0,0.004597954,3087.0,137.0,2.649438202,5.463232912
A2016\student2831,2321048.0,306.0,161.0,138.0,126.0,12859.0,3148.0,11281.0,238.0,0.001878031,986.0,72.0,0.913043478,4.420892495
A2016\student2868,66720.0,,,,,1.0,4.0,,,0.0,,,,
A2016\student2886,136.0,,,,,1.0,,,6.0,0.0,,,,
A2016\student2887,2529592.0,271.0,103.0,134.0,30.0,24797.0,6357.0,21707.0,2356.0,0.01240793,2583.0,120.0,0.223880597,12.15137437
A2016\student2888,240.0,,,1.0,,1.0,1.0,,,0.0,,,,
A2016\student2895,48.0,,,,,1.0,1.0,,,0.0,,,,
A2016\student2896,2512696.0,363.0,284.0,388.0,1006.0,17014.0,4502.0,14733.0,352.0,0.001009672,1041.0,32.0,2.592783505,2.437079731
A2016\student2900,28800.0,,,,,1.0,1.0,,,0.0,,,,
A2016\student2908,12349072.0,4881.0,3526.0,764.0,1219.0,57882.0,26679.0,49006.0,6779.0,0.009837338,16698.0,346.0,1.595549738,7.275242544
A2016\student2922,37440.0,,,,,1.0,6.0,,,0.002163462,6.0,37.0,,13.5
A2016\student2925,1545152.0,236.0,120.0,137.0,435.0,9384.0,2218.0,8214.0,214.0,0.001597254,779.0,54.0,3.175182482,3.168164313
A2016\student2939,2880984.0,365.0,201.0,215.0,247.0,20489.0,3351.0,18402.0,784.0,0.003157949,943.0,105.0,1.148837209,9.647932131
A2016\student2941,3035176.0,628.0,500.0,310.0,1231.0,10405.0,4790.0,9057.0,209.0,0.00452066,2895.0,760.0,3.970967742,4.73955095
A2016\student2949,24.0,,,,,8.0,,,,0.0,,,,
A2016\student2953,3852976.0,729.0,451.0,349.0,376.0,16862.0,5879.0,14269.0,1887.0,0.004454738,2839.0,120.0,1.077363897,6.045790771
A2016\student2956,717952.0,76.0,46.0,64.0,146.0,3993.0,2624.0,3211.0,220.0,0.012408908,1978.0,416.0,2.28125,4.504044489
A2016\student2959,1065672.0,136.0,101.0,111.0,335.0,5957.0,1670.0,5305.0,179.0,0.00480448,907.0,64.0,3.018018018,5.644983462
A2016\student2965,6886144.0,1769.0,1098.0,622.0,1132.0,36315.0,33279.0,30236.0,7008.0,0.049930992,26522.0,574.0,1.819935691,12.96402986
A2016\student2967,2623640.0,323.0,203.0,195.0,569.0,19127.0,5296.0,16409.0,970.0,0.001598161,999.0,100.0,2.917948718,4.197197197
A2016\student2972,2009392.0,320.0,250.0,268.0,340.0,16165.0,3611.0,14417.0,379.0,0.002685887,1201.0,120.0,1.268656716,4.493755204
A2016\student3001,8688.0,,,,,1.0,,,6.0,0.0,,,,
A2016\student3023,60320.0,,,,,1.0,6.0,,,9.95e-05,6.0,1.0,,1.0
A2016\student3071,6570728.0,1404.0,1174.0,689.0,1209.0,33616.0,14329.0,28899.0,1915.0,0.004699479,7522.0,109.0,1.754716981,4.105158203
A2016\student3077,7692424.0,1719.0,1258.0,772.0,1152.0,41230.0,16398.0,34385.0,2355.0,0.005390758,7532.0,267.0,1.492227979,5.505576208
A2016\student3108,3546816.0,886.0,557.0,260.0,305.0,21981.0,5237.0,19514.0,394.0,0.003910268,1975.0,140.0,1.173076923,7.022278481
A2016\student3116,3802424.0,553.0,379.0,393.0,813.0,23027.0,7882.0,19526.0,1031.0,0.003768912,3174.0,112.0,2.06870229,4.515122873
A2016\student3133,5180592.0,702.0,451.0,749.0,1265.0,27803.0,10292.0,24300.0,526.0,0.003006799,5694.0,162.0,1.688918558,2.735686688
A2016\student3136,2143584.0,527.0,409.0,178.0,184.0,14505.0,5387.0,12701.0,1218.0,0.003599579,3104.0,18.0,1.033707865,2.485824742
A2016\student3165,2882176.0,791.0,598.0,222.0,486.0,12853.0,4876.0,10382.0,715.0,0.001313938,1498.0,83.0,2.189189189,2.528037383
A2016\student3169,37768.0,12.0,7.0,10.0,14.0,52.0,251.0,35.0,17.0,0.016574878,234.0,31.0,1.4,2.675213675
A2016\student3171,6739088.0,1550.0,1224.0,1659.0,2116.0,32734.0,16422.0,26392.0,3130.0,0.003890883,6682.0,129.0,1.275467149,3.924124514
A2016\student3178,6699368.0,1193.0,831.0,421.0,1086.0,25700.0,12711.0,21271.0,2779.0,0.002957443,6460.0,119.0,2.579572447,3.067027864
A2016\student3186,10338816.0,3853.0,3166.0,1387.0,1469.0,47091.0,21032.0,36801.0,4478.0,0.0026268,8752.0,160.0,1.059120404,3.103062157
A2016\student3206,7154872.0,1048.0,741.0,754.0,934.0,37472.0,16486.0,31327.0,2075.0,0.005927849,8922.0,185.0,1.23872679,4.753754764
A2016\student3217,9627648.0,2552.0,1758.0,857.0,934.0,57139.0,18093.0,47769.0,3494.0,0.001919991,5361.0,164.0,1.089848308,3.448050737
A2016\student3219,2421136.0,481.0,385.0,260.0,418.0,12681.0,4182.0,10657.0,532.0,0.001546795,1499.0,58.0,1.607692308,2.498332221
A2016\student3253,2370128.0,407.0,188.0,150.0,332.0,15123.0,3463.0,13394.0,470.0,0.00321586,1418.0,162.0,2.213333333,5.375176305
A2016\student3258,4377696.0,1275.0,942.0,298.0,1194.0,23562.0,17102.0,20457.0,1614.0,0.039924883,13171.0,136.0,4.006711409,13.26998709
A2016\student3288,1850904.0,662.0,523.0,205.0,550.0,9777.0,3446.0,8532.0,475.0,0.003012582,2080.0,75.0,2.682926829,2.680769231
A2016\student3301,3315240.0,1212.0,1052.0,477.0,1285.0,16833.0,5227.0,14960.0,517.0,0.002477045,3063.0,69.0,2.693920335,2.681031668
A2016\student3306,7674600.0,2337.0,1746.0,614.0,1156.0,42118.0,21144.0,34565.0,2767.0,0.005146587,11939.0,346.0,1.882736156,3.30831728
A2016\student3313,3551544.0,631.0,380.0,256.0,207.0,21207.0,4794.0,18586.0,794.0,0.002356721,1807.0,69.0,0.80859375,4.631986718
A2016\student3315,10387304.0,2425.0,1490.0,503.0,1123.0,54145.0,21129.0,45737.0,6089.0,0.008289543,10062.0,162.0,2.232604374,8.557543232
A2016\student3320,7947960.0,2380.0,1722.0,693.0,1280.0,45584.0,17984.0,37835.0,2762.0,0.002448804,7215.0,66.0,1.847041847,2.697574498
A2016\student3329,5932840.0,891.0,642.0,517.0,929.0,25976.0,9144.0,21935.0,1164.0,0.002134054,4183.0,143.0,1.796905222,3.026775042
A2016\student3331,2829312.0,384.0,161.0,417.0,249.0,16829.0,3804.0,14976.0,681.0,0.00591946,1716.0,162.0,0.597122302,9.75990676
A2016\student3350,5323360.0,1699.0,1107.0,758.0,1389.0,24493.0,9693.0,21585.0,2198.0,0.008014111,6369.0,213.0,1.832453826,6.698382792
A2016\student3367,593208.0,169.0,118.0,4.0,15.0,3663.0,1118.0,3076.0,150.0,0.001144624,330.0,3.0,3.75,2.057575758
A2016\student3386,7654048.0,1627.0,1198.0,624.0,1321.0,36711.0,27804.0,30484.0,1556.0,0.008154378,19866.0,56.0,2.116987179,3.141749723
A2016\student3402,118616.0,,,5.0,0.0,223.0,275.0,38.0,69.0,0.005640049,266.0,3.0,0.0,2.515037594
A2016\student3406,8507744.0,2738.0,2093.0,846.0,689.0,46517.0,14124.0,40650.0,2322.0,0.003419473,6737.0,222.0,0.814420804,4.318242541
A2016\student3411,6577152.0,1291.0,968.0,654.0,873.0,38893.0,13136.0,33700.0,1459.0,0.003388853,5643.0,143.0,1.334862385,3.949849371
A2016\student3415,1187440.0,277.0,215.0,132.0,267.0,5732.0,1990.0,4874.0,319.0,0.004000202,1202.0,152.0,2.022727273,3.951747088
A2016\student3421,3155472.0,723.0,378.0,311.0,468.0,16672.0,3185.0,14810.0,457.0,0.002818596,627.0,322.0,1.504823151,14.18500797
A2016\student3424,591680.0,96.0,65.0,59.0,270.0,3968.0,2370.0,3403.0,760.0,0.022491888,1719.0,145.0,4.576271186,7.741710297
